Name,5 Minutes,15 Minutes,30 Minutes,Hourly,5 Hours,Daily,Weekly,Monthly,Datetime
Technology Select Sector SPDR,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Sell,Strong Buy,10/28/20 22:06:05
Energy Select Sector SPDR,Sell,Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,10/28/20 22:06:05
Financial Select Sector SPDR,Neutral,Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Sell,10/28/20 22:06:05
Vanguard FTSE Emerging Markets,Neutral,Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Neutral,Strong Buy,10/28/20 22:06:05
Vanguard S&P 500,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Sell,Strong Buy,10/28/20 22:06:05
iShares Silver,Neutral,Neutral,Sell,Strong Sell,Strong Sell,Strong Sell,Neutral,Strong Buy,10/28/20 22:06:05
SPDR S&P 500,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Sell,Strong Buy,10/28/20 22:06:05
iShares 1-3 Year Treasury Bond,Strong Buy,Strong Buy,Strong Buy,Strong Buy,Neutral,Neutral,Strong Sell,Buy,10/28/20 22:06:05
iShares Short Treasury Bond,Strong Buy,Strong Buy,Strong Buy,Strong Buy,Neutral,Sell,Strong Sell,Neutral,10/28/20 22:06:05
Invesco QQQ Trust,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Neutral,Strong Buy,10/28/20 22:06:05
Actinver Casa de Bolsa Pso Trac,Buy,Buy,Strong Buy,Strong Buy,Strong Buy,Strong Buy,Strong Buy,Strong Buy,10/28/20 22:06:05
MEXTRAC 09,Neutral,Neutral,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Neutral,Neutral,10/28/20 22:06:05
iShares NAFTRAC,Strong Buy,Buy,Neutral,Strong Sell,Strong Sell,Strong Sell,Neutral,Strong Sell,10/28/20 22:06:05
iShares SP 500 Peso Hedged TRAC,Neutral,Sell,Sell,Strong Sell,Strong Sell,Strong Sell,Buy,Strong Buy,10/28/20 22:06:05
ishares S&P 500,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Sell,Strong Buy,10/28/20 22:06:05
iShares Gold,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Neutral,Strong Buy,10/28/20 22:06:05
iShares $ Treasury Bond 0-1yr UCITS Acc,Strong Buy,Strong Buy,Strong Buy,Strong Buy,Neutral,Sell,Strong Sell,Buy,10/28/20 22:06:05
SPDR Gold Shares,Neutral,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Sell,Strong Buy,10/28/20 22:06:05
VanEck Vectors Gold Miners,Neutral,Neutral,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Sell,Strong Buy,10/28/20 22:06:05
iShares MSCI Brazil Capped,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,10/28/20 22:06:05
iShares $ Floating Rate Bond UCITS Acc USD,Neutral,Buy,Strong Buy,Neutral,Neutral,Strong Sell,Strong Sell,Buy,10/28/20 22:06:05
iShares MSCI Emerging Markets,Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Neutral,Strong Buy,10/28/20 22:06:05
iShares MSCI Japan,Strong Buy,Strong Buy,Neutral,Buy,Strong Sell,Strong Sell,Sell,Strong Buy,10/28/20 22:06:05
Smartshares - DIABLOI,Strong Buy,Strong Buy,Strong Buy,Strong Buy,Strong Buy,Neutral,Neutral,Sell,10/28/20 22:06:05
Actinver Casa de Bolsa Dlr Trac,Strong Buy,Strong Buy,Strong Buy,Strong Buy,Neutral,Sell,Strong Sell,Neutral,10/28/20 22:06:05
iShares Mexico Corporate Bond TRAC,Strong Buy,Strong Buy,Strong Buy,Strong Buy,Strong Buy,Strong Buy,Strong Buy,Sell,10/28/20 22:06:05
S&P/Valmer Mexico CETETRC,Strong Buy,Strong Buy,Strong Buy,Strong Buy,Strong Buy,Strong Buy,Strong Buy,Buy,10/28/20 22:06:05
Smartshares - ANGELD,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,10/28/20 22:06:05
SPDR Barclays 1-3 Month T-Bill,Neutral,Strong Buy,Strong Buy,Strong Buy,Neutral,Sell,Strong Sell,Neutral,10/28/20 22:06:05
Wal Mart Mexico,Buy,Strong Buy,Neutral,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Sell,10/28/20 22:06:05
iShares MSCI ACWI,Strong Buy,Neutral,Neutral,Strong Sell,Strong Sell,Strong Sell,Sell,Strong Buy,10/28/20 22:06:05
VOLARIS A,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Neutral,Neutral,10/28/20 22:06:05
Corporacion Inmobiliaria Vesta SAB,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Buy,Strong Buy,10/28/20 22:06:05
Grupo Televisa Unit,Strong Buy,Buy,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,10/28/20 22:06:05
FIBRA Terrafina,Strong Buy,Strong Buy,Buy,Sell,Strong Sell,Strong Sell,Buy,Strong Buy,10/28/20 22:06:05
Grupo Sports World,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,10/28/20 22:06:05
Organizacion Soriana,Strong Sell,Buy,Strong Buy,Strong Buy,Strong Buy,Strong Buy,Strong Sell,Strong Sell,10/28/20 22:06:05
Banregio,Sell,Neutral,Strong Sell,Strong Sell,Strong Sell,Neutral,Neutral,Strong Sell,10/28/20 22:06:05
Telesites SAB de CV,Neutral,Neutral,Strong Sell,Strong Sell,Strong Sell,Sell,Strong Buy,Strong Buy,10/28/20 22:06:05
PINFRA SAB De CV,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,10/28/20 22:06:05
Qualitas Controladora,Strong Sell,Strong Sell,Neutral,Buy,Strong Buy,Strong Buy,Neutral,Strong Buy,10/28/20 22:06:05
OMA B,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,10/28/20 22:06:05
Industrias Penoles,Neutral,Neutral,Neutral,Sell,Strong Sell,Strong Sell,Buy,Strong Buy,10/28/20 22:06:05
Megacable Holdings,Buy,Strong Buy,Strong Buy,Strong Buy,Strong Buy,Strong Buy,Buy,Neutral,10/28/20 22:06:05
Nemak SAB de CV,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Neutral,Sell,10/28/20 22:06:05
El Puerto De Liverpool C1,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Neutral,Strong Sell,10/28/20 22:06:05
Lamercial,Sell,Neutral,Neutral,Neutral,Buy,Strong Buy,Strong Buy,Strong Buy,10/28/20 22:06:05
Genomma Lab Int,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Neutral,10/28/20 22:06:05
Kimberly - Clark A,Strong Sell,Strong Sell,Neutral,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell,10/28/20 22:06:05
