Name,Daily,1 Week,1 Month,YTD,1 Year,3 Years,Datetime
Technology Select Sector SPDR,-2.67%,-5.10%,-8.02%,36.99%,48.07%,96.49%,10/28/20 22:06:02
Energy Select Sector SPDR,-3.32%,-7.54%,-9.73%,-47.75%,-46.85%,-54.71%,10/28/20 22:06:02
Financial Select Sector SPDR,-1.21%,-4.59%,-5.76%,-13.40%,-9.25%,-2.08%,10/28/20 22:06:02
Vanguard FTSE Emerging Markets,-2.09%,-1.69%,-2.52%,11.26%,15.84%,10.93%,10/28/20 22:06:02
Vanguard S&P 500,-1.67%,-3.83%,-5.67%,14.71%,19.97%,41.35%,10/28/20 22:06:02
iShares Silver,-3.03%,-4.73%,-4.07%,45.76%,44.10%,52.62%,10/28/20 22:06:02
SPDR S&P 500,-2.31%,-4.00%,-6.16%,14.57%,19.59%,40.63%,10/28/20 22:06:02
iShares 1-3 Year Treasury Bond,1.32%,1.03%,-4.04%,14.75%,13.19%,13.06%,10/28/20 22:06:02
iShares Short Treasury Bond,1.40%,0.99%,-4.10%,12.49%,10.93%,10.53%,10/28/20 22:06:02
Invesco QQQ Trust,-2.23%,-3.19%,-6.10%,44.47%,53.96%,98.77%,10/28/20 22:06:02
Actinver Casa de Bolsa Pso Trac,0.00%,0.67%,5.52%,-5.22%,-2.76%,28.62%,10/28/20 22:06:02
MEXTRAC 09,-2.41%,-4.46%,1.31%,-10.88%,-10.24%,-14.37%,10/28/20 22:06:02
iShares NAFTRAC,-1.76%,-3.29%,-0.08%,-14.07%,-14.38%,-23.44%,10/28/20 22:06:02
iShares SP 500 Peso Hedged TRAC,-2.83%,-3.74%,-1.39%,13.64%,13.64%,41.55%,10/28/20 22:06:02
ishares S&P 500,-1.87%,-3.79%,-5.97%,14.45%,19.65%,40.23%,10/28/20 22:06:02
iShares Gold,-0.74%,-0.52%,-5.08%,38.01%,38.82%,62.17%,10/28/20 22:06:02
iShares $ Treasury Bond 0-1yr UCITS Acc,1.02%,0.67%,-4.71%,13.09%,11.88%,-,10/28/20 22:06:02
SPDR Gold Shares,-0.67%,-1.07%,-4.97%,37.62%,38.57%,59.32%,10/28/20 22:06:02
VanEck Vectors Gold Miners,-4.29%,-5.49%,-10.40%,39.39%,49.90%,76.54%,10/28/20 22:06:02
iShares MSCI Brazil Capped,-4.66%,-7.65%,-5.26%,-35.17%,-31.72%,-24.78%,10/28/20 22:06:02
iShares $ Floating Rate Bond UCITS Acc USD,0.13%,-0.03%,-3.73%,12.11%,11.57%,-,10/28/20 22:06:02
iShares MSCI Emerging Markets,-0.68%,-1.29%,-2.10%,12.96%,16.88%,8.12%,10/28/20 22:06:02
iShares MSCI Japan,0.33%,-0.32%,-5.37%,10.53%,10.61%,10.24%,10/28/20 22:06:02
Smartshares - DIABLOI,1.96%,4.57%,0.15%,4.09%,4.01%,13.45%,10/28/20 22:06:02
Actinver Casa de Bolsa Dlr Trac,1.24%,0.92%,-4.11%,10.80%,9.62%,8.87%,10/28/20 22:06:02
iShares Mexico Corporate Bond TRAC,1.22%,0.24%,0.73%,-2.70%,-2.70%,-6.21%,10/28/20 22:06:02
