Emisora,Precio,Variación,Datetime
GE,$158.500, 5.52,10/28/20 22:05:17
AEROMEX,$4.200, 2.19,10/28/20 22:05:17
DIABLOI10,$13.500, 1.96,10/28/20 22:05:17
AC,$93.050, 1.64,10/28/20 22:05:17
SHV,"$2,353.000", 1.40,10/28/20 22:05:17
DLRTRAC15,$20.742, 1.24,10/28/20 22:05:17
CEMEXCPO,$8.370, 1.21,10/28/20 22:05:17
CORPTRCISHRS,$8.290, 1.10,10/28/20 22:05:17
SHY,"$1,832.000", 1.10,10/28/20 22:05:17
BIL,"$1,941.480", 1.07,10/28/20 22:05:17
NFLX,"$10,359.530", 1.07,10/28/20 22:05:17
IB01N,$109.000, 1.02,10/28/20 22:05:17
CHDRAUIB,$26.970, 1.01,10/28/20 22:05:17
TCEHYN,"$1,618.000", 0.87,10/28/20 22:05:17
GRUMAB,$237.480, 0.53,10/28/20 22:05:17
SORIANAB,$15.650, 0.38,10/28/20 22:05:17
EWJ,"$1,238.000", 0.33,10/28/20 22:05:17
HCITY,$5.260, 0.19,10/28/20 22:05:17
BACHOCOB,$67.320, 0.13,10/28/20 22:05:17
FLOAN,$111.700, 0.13,10/28/20 22:05:17
DIS,"$2,585.000", 0.03,10/28/20 22:05:17
ACTINVRB,$8.600, 0.00,10/28/20 22:05:17
IVVPESOISHRS,$58.300, 0.00,10/28/20 22:05:17
UBER,$714.980, 0.00,10/28/20 22:05:17
CUERVO,$46.960, -0.06,10/28/20 22:05:17
