Emisora,Precio Historico,Precio Actual,Variación
TWTR*,$861.300,"$1,038.000",20.52
BYND*,"$2,770.000","$3,320.000",19.86
SITESB-1,$17.770,$20.690,16.43
GE*,$140.070,$158.500,13.16
TCEHYN,"$1,441.510","$1,618.000",12.24
CEMEXCPO,$7.480,$8.370,11.90
CRM*,"$4,557.000","$5,070.000",11.26
IENOVA*,$66.510,$73.660,10.75
LACOMERUBC,$35.410,$39.160,10.59
X*,$179.570,$198.000,10.26
NEMAKA,$5.950,$6.560,10.25
CUERVO*,$43.030,$46.960,9.13
FCX*,$330.000,$359.210,8.85
SBUX*,"$1,711.010","$1,855.000",8.42
UBER*,$659.900,$714.980,8.35
MU*,$975.420,"$1,053.600",8.02
NKE*,"$2,410.010","$2,599.000",7.84
GFNORTEO,$83.960,$89.760,6.91
QCOM*,"$2,450.020","$2,607.100",6.41
PSOTRAC15,$7.010,$7.364,5.05
GAPB,$172.470,$180.220,4.49
VESTA*,$32.900,$34.200,3.95
TSLA*,"$8,306.000","$8,631.980",3.92
COST*,"$7,522.000","$7,777.000",3.39
TERRA13,$28.160,$29.070,3.23
